"Source","Target"
18834526,11823860
18837994,11823860
18840765,12829800
18842630,11823860
18843012,12829800
18854030,12829800
18854055,11823860
18922159,11823860
18922159,12829800
18922900,11823860
18922912,11823860
18923934,11823860
18925859,12829800
18925950,12829800
18928525,11823860
18928543,11823860
18931693,11823860
18940925,11823860
18947390,12829800
18947390,15829967
18950515,12829800
18950515,15829967
18951447,11823860
18951447,12829800
18952783,12829800
18953431,11823860
18953822,11823860
18953822,12829800
18954459,11823860
18971340,15829967
18973863,11823860
18977655,11823860
18980022,12829800
18980022,15829967
18981013,11823860
18985037,11823860
18986507,11823860
18987339,15829967
18988867,11823860
18989396,11823860
19007432,12829800
19014521,11823860
19014556,11823860
19014681,11823860
19016452,11823860
19025599,11823860
19025652,11823860
19039030,11823860
19043454,12829800
19047122,15829967
19047179,15829967
19047281,12829800
19055754,11823860
19055754,12829800
19056892,12829800
19064968,15829967
19079753,11823860
19079768,11823860
19088015,12829800
19088016,11823860
19088016,12829800
19088038,11823860
19090970,15829967
19091006,11823860
19094230,11823860
19099573,11823860
19101988,11823860
19101988,12829800
19102762,11823860
19104654,11823860
19107233,11823860
19108738,11823860
19109576,11823860
19111877,11823860
19115996,11823860
19116006,11823860
19116033,11823860
19116033,12829800
19118016,11823860
19124484,12829800
19124506,11823860
19124506,12829800
19125125,11823860
19125200,11823860
19128442,11823860
19130459,15829967
19147773,11823860
19165203,12829800
19173305,15829967
19174523,12829800
19178740,11823860
19183004,11823860
19190334,11823860
19192299,11823860
19196983,11823860
19200054,15829967
19200394,11823860
19203388,11823860
19204204,11823860
19204204,12829800
19204205,11823860
19204205,12829800
19208118,11823860
19208118,12829800
19208120,11823860
19209720,11823860
19209726,11823860
19218431,15829967
19223511,12829800
19224362,11823860
19229342,11823860
19229372,11823860
19232099,11823860
19238633,11823860
19240714,11823860
19240714,12829800
19243176,11823860
19243594,11823860
19245714,11823860
19246616,11823860
19259095,12829800
19259405,11823860
19259408,11823860
19259415,11823860
19259417,11823860
19267539,11823860
19269363,15829967
19269969,11823860
19270750,11823860
19274461,12829800
19276151,11823860
19278560,11823860
19285134,11823860
19289498,11823860
19289498,12829800
19290050,11823860
19291283,11823860
19291283,12829800
