Id,Label,Authority,Hub,modularity_class,pageranks,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree
10817498,,0,0,23,0.000013,0,1,1,0,1,1
10616684,,0,0,23,0.000013,0,1,1,0,1,1
9863592,,0,0,23,0.000013,0,1,1,0,1,1
29520654,,0,0.000009,2,0.000013,0,3,3,0,3,3
9012404,,0.000239,0,2,0.006497,39,0,39,39,0,39
28480178,,0,0.000112,5,0.000013,0,6,6,0,6,6
27532258,,0,0.002361,2,0.000013,0,8,8,0,8,8
27377827,,0.000038,0.00001,2,0.000017,3,2,5,3,2,5
27223485,,0.000051,0.000132,22,0.000028,4,10,14,4,10,14
26857456,,0.00003,0.000279,2,0.000048,8,7,15,8,7,15
26648754,,0,0.000034,2,0.000013,0,5,5,0,5,5
25320599,,0.000056,0.000024,2,0.000031,5,5,10,5,5,10
23691450,,0,0.000005,2,0.000013,0,1,1,0,1,1
23125888,,0,0.000005,2,0.000013,0,1,1,0,1,1
22382806,,0.000183,0.000039,2,0.000055,11,6,17,11,6,17
22276005,,0,0.00001,2,0.000046,4,2,6,4,2,6
21291532,,0,0.000005,2,0.000013,0,1,1,0,1,1
20927582,,0.000418,0.000502,2,0.000123,15,12,27,15,12,27
19996029,,0,0.00001,2,0.000013,0,2,2,0,2,2
18688698,,0.00006,0.00016,5,0.000236,10,6,16,10,6,16
18558006,,0,0.00001,2,0.000013,0,3,3,0,3,3
18158280,,0.000054,0.00093,2,0.000021,3,8,11,3,8,11
18042939,,0.001248,0.001066,2,0.000336,48,9,57,48,9,57
15548363,,0.000039,0.000028,2,0.000047,6,8,14,6,8,14
15082902,,0.000704,0.000349,2,0.000054,9,4,13,9,4,13
15026808,,0.000193,0.000896,2,0.000043,9,12,21,9,12,21
12896911,,0,0.000005,2,0.000013,0,1,1,0,1,1
12677558,,0.036925,0.001038,5,0.00996,646,8,654,646,8,654
11879560,,0.000222,0.000409,2,0.001306,27,5,32,27,5,32
11056688,,0.000047,0.000334,2,0.00005,5,5,10,5,5,10
10788334,,0.001607,0.000055,2,0.000931,58,5,63,58,5,63
10577940,,0.000174,0.000321,2,0.000374,10,4,14,10,4,14
10570174,,0.000576,0.000448,8,0.007266,33,9,42,33,9,42
10486320,,0.002061,0.000368,0,0.00078,23,4,27,23,4,27
9150174,,0.000099,0.000005,2,0.000933,13,1,14,13,1,14
9150173,,0,0.000008,2,0.000013,0,2,2,0,2,2
9150172,,0.000041,0.00001,2,0.00058,5,2,7,5,2,7
28961279,,0.000001,0.00101,2,0.000026,2,17,19,2,17,19
24040146,,0,0.001347,2,0.000013,0,8,8,0,8,8
22703186,,0,0.001256,0,0.000013,0,10,10,0,10,10
21673012,,0.000031,0.000065,41,0.000193,19,3,22,19,3,22
17018160,,0.000239,0.001337,2,0.000156,19,10,29,19,10,29
16764716,,0.000049,0.000116,2,0.000025,5,5,10,5,5,10
16168118,,0.000188,0.000468,2,0.000109,20,8,28,20,8,28
15138471,,0,0.000447,2,0.000013,0,2,2,0,2,2
12677142,,0,0.000007,2,0.000013,0,2,2,0,2,2
11880951,,0,0.000036,2,0.000013,0,2,2,0,2,2
11792833,,0.000116,0.000103,0,0.000943,14,5,19,14,5,19
11556835,,0,0.000013,2,0.000013,0,2,2,0,2,2
11305950,,0.000003,0.000009,0,0.000025,2,3,5,2,3,5
11170903,,0.000025,0.00004,2,0.000035,3,2,5,3,2,5
10755399,,0.000059,0.000346,2,0.000151,11,6,17,11,6,17
10699057,,0,0.00006,2,0.000013,0,3,3,0,3,3
