"Source","Target"
9600935,8242752
9602692,8242752
9606188,8242752
9618472,8242752
9618481,8242752
9618491,8242752
9624416,9153395
9624416,9153396
9628932,8242752
9632751,9153395
9632751,9153396
9632756,8242752
9632782,9153395
9632782,9153396
9632802,8242752
9632811,8242752
9635828,9153395
9635828,9153396
9635829,8242752
9636207,8242752
9640199,8242752
9649136,8242752
9649502,8242752
9649502,9153395
9649502,9153396
9652752,8242752
9653178,8242752
9653180,9153395
9653180,9153396
9658131,9153395
9658131,9153396
9662253,8242752
9662253,9153396
9664074,8242752
9665463,8242752
9665492,8242752
9671482,8242752
9671763,8242752
9671804,9153395
9671804,9153396
9679054,8242752
9693368,8242752
9694806,8242752
9694806,9153395
9694806,9153396
9694807,8242752
9694807,9153395
9694807,9153396
9703360,8242752
9707425,8242752
9707426,8242752
9707427,8242752
9710617,8242752
9724636,8242752
9724636,9153395
9724636,9153396
9724637,8242752
9724739,9153395
9724739,9153396
9725899,8242752
9725911,8242752
9732264,9153395
9732264,9153396
9736038,8242752
9736038,9153395
9736700,9153395
9736700,9153396
9736732,8242752
9742084,9153395
9742084,9153396
9742086,9153395
9742086,9153396
9742130,8242752
9743520,9153395
9743520,9153396
9744860,8242752
9744860,9153395
9744860,9153396
9751770,8242752
9765202,8242752
9765388,9153395
9765388,9153396
9774648,8242752
9774662,9153395
9774662,9153396
9777936,8242752
9789032,8242752
9789064,9153395
9789064,9153396
9802988,8242752
9811681,8242752
9819404,8242752
9819415,8242752
9819415,9153395
9819415,9153396
9819444,8242752
9826676,8242752
9826721,8242752
9828785,8242752
9832503,9153395
9832503,9153396
9841867,8242752
9841917,8242752
9843948,9153396
9843965,8242752
9846966,9153395
9852160,8242752
9857178,8242752
9858527,8242752
9858527,9153395
9858527,9153396
9858545,8242752
9858609,9153395
9858609,9153396
9860976,8242752
9861017,9153395
9861017,9153396
9861030,8242752
9878046,8242752
9878046,9153395
9878046,9153396
9882325,9153395
9882325,9153396
9891044,8242752
9891053,8242752
9891054,8242752
9892649,8242752
9895307,8242752
9895308,8242752
9925639,9153395
9925639,9153396
9927683,8242752
9930069,8242752
9971784,9153396
10022862,8242752
10022862,9153395
10022862,9153396
10022865,8242752
10022870,8242752
10022902,8242752
10027389,8242752
10027414,9153395
10027414,9153396
10037786,8242752
10064589,8242752
10070887,8242752
10072445,9153395
10072445,9153396
10074161,8242752
10075928,8242752
10075936,9153395
10075936,9153396
10076567,8242752
10077594,8242752
10077639,8242752
10077639,9153395
10077639,9153396
10077642,8242752
10082513,8242752
10082513,9153395
10082513,9153396
10082525,8242752
10082540,8242752
10082540,9153395
10082540,9153396
10082548,9153396
10097101,8242752
10097151,9153395
10097151,9153396
10188908,8242752
10189888,8242752
10189892,8242752
10189892,9153395
10189892,9153396
10193510,8242752
10193518,8242752
10196247,9153395
10196247,9153396
10196272,8242752
10200270,8242752
10200307,8242752
10202144,8242752
10202144,9153395
10202144,9153396
10202145,9153395
10202145,9153396
10203572,9153395
10203572,9153396
10206307,8242752
10207051,8242752
10207051,9153395
10207051,9153396
10207072,8242752
10207094,9153395
10207094,9153396
10207112,8242752
10207112,9153395
10207112,9153396
10207115,8242752
10233960,8242752
10329616,8242752
10357817,8242752
10357817,9153395
10357817,9153396
10359041,8242752
10359043,8242752
10359817,9153395
10359817,9153396
10360647,8242752
10362117,8242752
10373532,8242752
10376969,8242752
10376970,8242752
10376970,9153395
10376970,9153396
10389977,8242752
10393949,9153395
10393949,9153396
10398670,8242752
10400750,8242752
10400777,8242752
10409725,8242752
10409760,8242752
10411902,8242752
10424746,8242752
