"Source","Target"
14585990,10837071
14592976,10837071
14597718,8145033
14606959,10837071
14610207,8145033
14613580,10837071
14614151,10837071
14615816,8145033
14633987,10837071
14645539,10837071
14657379,8145033
14668491,10837071
14670178,10837071
14670916,8145033
14673152,10837071
14673179,10837071
14679297,10837071
14688141,8145033
14694106,10837071
14710188,10837071
14710238,8145033
14715548,8145033
14720301,8145033
14741045,10837071
14742257,8145033
14742527,8145033
14748687,10837071
14755344,10837071
14762203,10837071
14763901,10837071
14770079,8145033
14977931,8145033
14977954,10837071
14983030,10837071
14990723,8145033
15008978,8145033
15016878,10837071
15024091,10837071
15027902,8145033
15044707,10837071
15056379,8145033
15057302,8145033
15064395,10837071
15070757,8145033
15078899,10837071
15078930,10837071
15079071,10837071
15082780,10837071
15083197,8145033
15096539,8145033
15096607,8145033
15102775,8145033
15111301,10837071
15113904,8145033
15123841,10837071
15143182,10837071
15147571,8145033
15148378,10837071
15153339,10837071
15155187,10837071
15169888,10837071
15173875,8145033
15181213,10837071
15184672,10837071
15197224,8145033
15199157,10837071
15213153,14525967
15213171,8145033
15214841,10837071
15217499,8145033
15222882,8145033
15226358,10837071
15226448,10837071
15235083,10837071
15240830,10837071
15254204,8145033
15254232,10837071
15254582,14525967
15269141,8145033
15271891,8145033
15271906,8145033
15289496,10837071
15310405,10837071
15314185,10837071
15314694,10837071
15320871,8145033
15328418,10837071
15331713,10837071
15334484,10837071
15343385,10837071
15355306,10837071
15379981,8145033
15383144,10837071
15385493,10837071
15388420,8145033
15388451,10837071
15456869,10837071
15458574,8145033
15466594,10837071
15470505,10837071
15477864,8145033
15479873,10837071
15485901,10837071
15485931,10837071
15489359,10837071
15498042,8145033
15502883,10837071
15509801,10837071
15520247,10837071
15534907,8145033
15535802,10837071
15536134,10837071
15545056,10837071
15554925,8145033
15557348,8145033
15557610,14525967
15572679,10837071
15574499,10837071
15578091,10837071
15596797,8145033
15596853,8145033
15601829,10837071
15606796,8145033
15616592,10837071
15618179,8145033
15618199,8145033
15625104,8145033
15643009,8145033
15644867,14525967
15650163,10837071
15650201,8145033
15657437,10837071
15664921,8145033
15667568,8145033
15673738,8145033
15686474,10837071
15695520,10837071
15701168,8145033
15703291,8145033
15705716,14525967
15710900,8145033
15713234,10837071
15720438,8145033
15728240,8145033
15730383,8145033
15730392,8145033
15730393,8145033
15730398,8145033
15738399,8145033
15743811,10837071
15753256,8145033
15753951,8145033
15793859,10837071
15804290,8145033
15837813,8145033
15845455,10837071
15851485,8145033
15855497,14525967
15870263,10837071
15872088,8145033
15919883,8145033
15919917,10837071
15923614,10837071
15939554,10837071
15956285,8145033
15969767,10837071
15983368,10837071
15987427,8145033
15988011,10837071
15995707,8145033
15997236,10837071
16020513,10837071
16024783,10837071
16044664,10837071
16045541,8145033
16045800,15494428
16051807,10837071
16076403,14525967
16100524,10837071
16103178,14525967
16106098,8145033
16107733,10837071
16109408,10837071
16116086,10837071
16140757,10837071
16144939,8145033
16148945,10837071
16157687,8145033
16159204,10837071
16162034,14525967
16162672,10837071
16166378,10837071
16166595,8145033
16167082,8145033
16174751,10837071
16174760,10837071
16177066,8145033
16177180,10837071
16192349,10837071
16192667,10837071
16195333,10837071
16203865,8145033
16210484,8145033
16232216,8145033
16232221,8145033
16239395,10837071
16239396,8145033
16244088,8145033
16246257,10837071
16254597,8145033
16269728,10837071
16284360,8145033
16284650,14525967
16288051,10837071
16289658,10837071
16297169,8145033
16301747,10837071
16303162,10837071
16308565,10837071
16317091,10837071
16336209,10837071
16354593,10837071
16357329,8145033
16362041,10837071
16371367,10837071
16382138,10837071
16396683,14525967
16423051,8145033
16423060,8145033
16423063,8145033
16425346,8145033
16426007,8145033
16432253,10837071
16439555,8145033
16469871,8145033
16478883,8145033
16484370,10837071
16487247,14525967
16492740,10837071
16495340,10837071
16495515,10837071
16497967,10837071
16504042,10837071
16507160,14525967
16508008,10837071
16514065,14525967
16518473,10837071
16533423,14525967
16537609,8145033
16537615,8145033
16542363,8145033
16551748,10837071
16552059,14525967
16556260,8145033
16556267,10837071
16572725,8145033
16611882,10837071
16611992,10837071
16622206,8145033
16624862,14525967
16636132,15494428
16648481,10837071
16651614,14525967
16690970,15494428
16699014,14525967
16705178,10837071
16705808,10837071
16709937,10837071
16714568,14525967
16714574,10837071
16717116,8145033
16751795,10837071
16756995,10837071
16771860,10837071
16771862,14525967
16785320,10837071
16794254,10837071
16796693,8145033
16827896,8145033
16858407,8145033
16861283,8145033
16874300,16603398
16880196,10837071
16880269,10837071
16916762,8145033
16935409,10837071
16940524,8145033
16973541,14525967
16995881,8145033
17000764,16603398
17001349,10837071
17005669,10837071
17011503,8145033
17012060,15494428
17015635,10837071
17018642,14525967
17034589,8145033
17035315,14525967
17055348,16603398
17056088,8145033
17059508,8145033
17063124,8145033
17064670,15494428
17110450,14525967
17111046,8145033
17116858,10837071
17121795,8145033
17124531,10837071
17135271,16603398
17146472,14525967
17148610,10837071
17148675,8145033
17149431,10837071
17158230,8145033
17158449,16603398
17166903,8145033
17167854,10837071
17175027,14525967
17179215,10837071
17183680,8145033
17213320,10837071
17218616,10837071
17223962,10837071
17227910,14525967
17242188,10837071
17244613,10837071
17254567,10837071
17272824,10837071
17278221,10837071
17284303,15494428
17293456,14525967
17299416,10837071
17300840,14525967
17301240,10837071
17302891,8145033
17306544,16603398
17307940,14525967
17311089,14525967
17318178,10837071
17331236,8145033
17341312,15494428
17348859,16603398
17355622,16603398
17359532,8145033
17360358,14525967
17363905,10837071
17363973,10837071
17363973,16603398
17367207,8145033
17367542,15494428
17368067,10837071
17373740,8145033
17374166,10837071
17380205,10837071
17382248,15494428
17397264,14525967
17433711,10837071
17434128,10837071
17438001,10837071
17438126,10837071
17462577,10837071
17470539,8145033
17490401,8145033
17491656,10837071
17502353,10837071
17515399,8145033
17521318,15494428
17525260,14525967
17537853,14525967
17548522,8145033
17553156,10837071
17555569,14525967
17562016,14525967
17579714,8145033
17584730,15494428
17589921,8145033
17597540,15494428
17605296,15494428
17608690,8145033
17608923,8145033
17609878,8145033
17611159,15494428
17611605,14525967
17626840,8145033
17631504,10837071
17660749,10837071
17676974,10837071
17686837,10837071
17686849,10837071
17695590,8145033
17703191,10837071
17709378,10837071
17709515,10837071
17711408,15494428
17724069,10837071
17727655,14525967
17764583,8145033
17766391,16603398
17785452,10837071
17803352,15494428
17823660,14525967
17823690,8145033
17855547,10837071
17869269,10837071
17869311,10837071
17875674,14525967
17875675,8145033
17891168,10837071
17893127,14525967
17895889,10837071
17895982,15494428
17908939,8145033
17913809,8145033
17916356,14525967
17916800,15494428
17923086,8145033
17923873,8145033
17924970,14525967
17934073,10837071
17939994,10837071
17942609,8145033
17948050,16603398
17949417,8145033
17965165,10837071
17967192,14525967
17967462,14525967
17971236,10837071
17979627,10837071
17980712,10837071
